word_id     word                                                                                                 word_count
----------- ---------------------------------------------------------------------------------------------------- -----------
1           aa                                                                                                   87
2           aaa                                                                                                  492
3           aaaa                                                                                                 11
4           aaaaa                                                                                                1
5           aaaaaaa                                                                                              9
6           aaaaaaaaaa                                                                                           1
7           aaaaallied                                                                                           1
8           aaaaasupercraft                                                                                      1
9           aaaah                                                                                                2
10          aaaallied                                                                                            1
11          aaabco                                                                                               1
12          aaace                                                                                                2
13          aaacnc                                                                                               1
14          aaah                                                                                                 1
15          aaaps                                                                                                1
16          aaargon                                                                                              1
17          aaaronco                                                                                             2
18          aaatlas                                                                                              1
19          aab                                                                                                  4
20          aaba                                                                                                 3
21          aabacus                                                                                              4
22          aabbc                                                                                                2
23          aabc                                                                                                 1
24          aabcal                                                                                               1
25          aabco                                                                                                6
26          aabe                                                                                                 3
27          aabec                                                                                                1
28          aabel                                                                                                3
29          aaben                                                                                                3
30          aabex                                                                                                1
31          aabil                                                                                                1
32          aable                                                                                                6
33          aaboriginal                                                                                          1
34          aabs                                                                                                 1
35          aac                                                                                                  7
36          aaccel                                                                                               1
37          aace                                                                                                 2
38          aaces                                                                                                1
39          aaci                                                                                                 1
40          aacme                                                                                                2
41          aacq                                                                                                 1
42          aacropolis                                                                                           4
43          aacson                                                                                               1
44          aact                                                                                                 3
45          aaction                                                                                              8
46          aactive                                                                                              4
47          aacute                                                                                               1
48          aad                                                                                                  1
49          aada                                                                                                 1
50          aadac                                                                                                12
51          aadco                                                                                                2
52          aadelard                                                                                             1
53          aadhion                                                                                              1
54          aadil                                                                                                2
55          aadler                                                                                               1
56          aadon                                                                                                1
57          aadvanced                                                                                            1
58          aadvark                                                                                              1
59          aae                                                                                                  2
60          aael                                                                                                 1
61          aaerr                                                                                                1
62          aaesthetics                                                                                          1
63          aaf                                                                                                  3
64          aafco                                                                                                2
65          aaffinity                                                                                            4
66          aag                                                                                                  2
67          aagna                                                                                                1
68          aah                                                                                                  3
69          aahar                                                                                                1
70          aahhah                                                                                               1
71          aahsappi                                                                                             1
72          aai                                                                                                  1
73          aaim                                                                                                 2
74          aaims                                                                                                3
75          aaimsafe                                                                                             2
76          aaina                                                                                                2
77          aairport                                                                                             1
78          aaisa                                                                                                1
79          aaj                                                                                                  1
80          aajutu                                                                                               1
81          aak                                                                                                  1
82          aakarshan                                                                                            1
83          aakd                                                                                                 1
84          aakuluk                                                                                              1
85          aal                                                                                                  3
86          aalantra                                                                                             1
87          aalert                                                                                               1
88          aalif                                                                                                1
89          aaliyah                                                                                              2
90          aall                                                                                                 4
91          aallcann                                                                                             4
92          aallstone                                                                                            1
93          aalmax                                                                                               1
94          aalpha                                                                                               1
95          aaltje                                                                                               1
96          aaltos                                                                                               4
97          aalvarez                                                                                             1
98          aalwest                                                                                              5
99          aalyn                                                                                                1
100         aam                                                                                                  2
101         aamacdonald                                                                                          2
102         aamaryllis                                                                                           1
103         aamazing                                                                                             1
104         aamco                                                                                                19
105         aamcor                                                                                               1
106         aamdc                                                                                                1
107         aamed                                                                                                1
108         aamend                                                                                               1
109         aamex                                                                                                2
110         aamir                                                                                                2
111         aamjiwnaang                                                                                          1
112         aamps                                                                                                3
113         aams                                                                                                 1
114         aan                                                                                                  2
115         aana                                                                                                 1
116         aanawl                                                                                               2
117         aandhi                                                                                               1
118         aandiauto                                                                                            1
119         aandrews                                                                                             1
120         aangstrom                                                                                            1
121         aanteater                                                                                            1
122         aaonms                                                                                               1
123         aaow                                                                                                 1
124         aapex                                                                                                1
125         aapka                                                                                                2
126         aaple                                                                                                1
127         aapo                                                                                                 1
128         aappliance                                                                                           2
129         aar                                                                                                  10
130         aara                                                                                                 1
131         aararat                                                                                              1
132         aarati                                                                                               1
133         aarav                                                                                                1
134         aarc                                                                                                 5
135         aarcon                                                                                               1
136         aarctic                                                                                              1
137         aarde                                                                                                3
138         aardee                                                                                               2
139         aarden                                                                                               1
140         aardt                                                                                                1
141         aardvarc                                                                                             1
142         aardvark                                                                                             41
143         aardvarks                                                                                            1
144         aardwolf                                                                                             2
145         aardwolfe                                                                                            1
146         aargray                                                                                              1
147         aarian                                                                                               1
148         aarica                                                                                               1
149         aark                                                                                                 1
150         aarkay                                                                                               1
151         aarlex                                                                                               2
152         aarlin                                                                                               1
153         aarm                                                                                                 11
154         aarmadillo                                                                                           1
155         aarmco                                                                                               1
156         aarn                                                                                                 1
157         aaro                                                                                                 1
158         aaroc                                                                                                2
159         aarohi                                                                                               2
160         aaron                                                                                                171
161         aarondale                                                                                            1
162         aarons                                                                                               19
163         aaronson                                                                                             1
164         aaronway                                                                                             1
165         aaroport                                                                                             4
166         aarow                                                                                                2
167         aarron                                                                                               1
168         aarrow                                                                                               1
169         aarrowsmith                                                                                          1
170         aarruja                                                                                              2
171         aarsen                                                                                               1
172         aarsh                                                                                                1
173         aarssen                                                                                              1
174         aartco                                                                                               1
175         aartech                                                                                              1
176         aarten                                                                                               2
177         aartesian                                                                                            1
178         aarti                                                                                                2
179         aarts                                                                                                3
180         aartsen                                                                                              1
181         aartvark                                                                                             2
182         aaru                                                                                                 1
183         aarvi                                                                                                1
184         aarway                                                                                               1
185         aary                                                                                                 1
186         aaryan                                                                                               1
187         aarzoo                                                                                               2
188         aas                                                                                                  4
189         aasa                                                                                                 1
190         aasbestos                                                                                            1
191         aase                                                                                                 7
192         aasen                                                                                                3
193         aasheim                                                                                              1
194         aashiana                                                                                             1
195         aashima                                                                                              1
196         aashton                                                                                              1
197         aasl                                                                                                 1
198         aasland                                                                                              1
