fname                                              count
-------------------------------------------------- -----------
RORY                                               214
ALDRICE                                            5
GIRLEY                                             1
WAYNE(MGR)                                         1
VIZI                                               3
SUSAN M HUTTON                                     1
MAHIMA                                             2
ALEXSIS                                            1
MR.A                                               1
LORA LEE                                           1
DR. SCOTT                                          7
JEAN-PHILLIPE                                      1
JANGO                                              1
MS. ELLEN                                          1
KEVIN JR                                           1
J LIM                                              1
STEVE STRATFORD                                    1
NEWMEN                                             1
JOLYNN                                             9
NIK                                                23
J. ALAN                                            1
MRS MARIANNE                                       2
MAZEBAH                                            1
LIENNE                                             1
WAYNE TRAINER                                      1
GEATANE                                            3
JAVIEH                                             1
DANAELLE                                           1
ABDUR                                              3
M J GEN DEL                                        1
VELMA                                              370
SAMAD                                              6
UT                                                 6
KWOK                                               11
MS. JANICE                                         1
MIKE AND SHARON                                    1
CLAUDE & DIANA                                     1
PHEN                                               2
ZOHAIR                                             2
V BOJANOWSKI                                       1
R UPSHALL                                          1
MRS.  LYNN                                         1
JONATHAN DUNLOP                                    1
MRS.S                                              1
PAQUERETTE                                         3
PASTOR GLENN                                       1
IVAN RADAN                                         1
ANTOINIA                                           1
ARRT                                               1
DAVID AMATO                                        1
WILBIE                                             2
FERAZS                                             1
THOURSH                                            1
RODELLO                                            1
JOHN DEERE                                         1
D MARK                                             4
RALSTON S                                          1
KEEGAN                                             31
EDWARD C                                           4
THIEN                                              4
CARLE-THIESSON                                     1
GILLAN                                             1
NORMA C                                            1
MR. SERGE                                          1
Tarma                                              1
KIRIL                                              1
LINDYN                                             1
KC                                                 5
DEMI/COLE                                          1
STACEY PARKER-YULL                                 1
IDENA                                              4
RÉANNE                                             1
AMELITA                                            4
IBRAR                                              1
HARWINDER                                          17
RITA  ET MAURICE                                   1
SECRETARY                                          2
D T HSIEH                                          1
SARAHDAWN                                          1
S N PETA                                           1
TISTON                                             1
RANATE                                             2
DENNIS/MICHELE                                     1
MRS. GLADYS                                        1
SUSANNA BELVEDERE                                  1
DAVID C LEWIS                                      1
TERI-ANN                                           1
ARIBIBIA                                           1
YUN KAI CHAN                                       1
WINSLOW                                            4
M RAY                                              1
RHOEL                                              2
VILLIAN SR.                                        1
DR.LOREEN                                          1
STACEY                                             2
ANDRIANNE                                          1
HAZEL INVERNESS                                    1
MME. P                                             1
DINIL                                              2
FRALBEY                                            1
Indrit                                             1
RIKIN                                              1
HE Z                                               1
DUWAYNE                                            6
GAÉTAN                                             1
JEMERY                                             1
TENELLE                                            1
M & J J                                            1
CHRISTOPHER SCHAFER                                1
HARDIP                                             8
ALEJANDRO                                          21
TOMOKI                                             3
MCKINNON                                           4
MARYFRANCES                                        1
BOB MULLIN                                         1
KIRN                                               1
BOB ZEHR                                           2
MICHAEL LADANYI                                    1
CARMYL                                             1
ROSSANI                                            1
MRS. KERRY                                         1
NASRA                                              2
MR. KELLY                                          34
H W                                                5
MRS.PATRICIA                                       1
ROSCOE                                             17
NAOKO                                              3
AL & KATHY                                         1
ALLAN & DONNA FARMI                                1
NAUSS MARY                                         1
MRS FLOYD                                          1
LINDSEY CUNNINGHAM                                 1
MERLIE                                             4
KASAHUN                                            1
RICHARD L PALLEN                                   1
YANIRIS                                            1
DERREK                                             40
MERRILEE                                           8
EPPIE                                              2
TASJE                                              1
REV GLEN                                           2
VIENNE                                             1
MONALIZA                                           2
THUVAN                                             1
CASHMERE                                           1
AGMA                                               1
FARHAN                                             9
BTELKA                                             1
BADRIA                                             1
BILLY ANNA                                         1
H ROONEY                                           1
MYRONIA                                            1
BARVINDER                                          1
TOBYLAUREN                                         1
DARLENE/GARY                                       2
MARIE STELLA                                       1
ALDEN H                                            1
EDMONDE                                            1
C & K WHITE                                        1
GEORGE/PATRICIA                                    1
KATHLEEN A MACNEILL                                1
MS F                                               1
Jn                                                 2
KLARA SERJANI                                      1
SOEMIA                                             1
CRYSTAL MCCARTHY-WILLIS                            1
MRS KIRBY                                          1
BRAD WAKEGIJIG                                     1
SHYNE                                              2
WYNETTE                                            4
MRS RETA                                           2
SOOYEUN                                            1
LYNELLA                                            2
CHARLES & DEBBIE                                   1
MRS ALKIMINI                                       1
LEAGH                                              5
DVORZSAK                                           1
WYNNANN                                            1
RICORINA                                           1
ADEENA                                             1
LEON R                                             1
KURT & COLEEN                                      1
MAR LOU                                            1
REXANNE                                            3
VIACHELAV                                          1
KYO                                                3
R GROVER                                           1
S JOSEPH                                           1
COLEY                                              2
DARYOUSH                                           3
DAN ALESSANDRINI                                   1
GEBREMARLA                                         1
VIKTORS                                            1
ALORITA                                            1
QIQIU                                              1
CORY AND AMY                                       1
GENIVEVE                                           2
KASEY                                              21
BERNATTE                                           1
CHAVAH                                             3
CYRETHA                                            1
DANIELLE (MS)                                      2
KENETTH                                            1
M GRANIC                                           1
JON M                                              1
PHILLIP RAMA                                       1
LEEVI                                              1
WILLIAM P DEVRIES                                  1
REV GORDON                                         1
EUNIC                                              1
KRISTA LUNDY                                       1
GORDON FULTHORPE                                   1
TRECO                                              1
KIMBERLY G                                         1
PIIA                                               1
RAZIA                                              6
DEOME                                              1
KIRAN GILL                                         1
CLELA                                              2
WILLIAM FRED                                       1
SHIRLEY JEAN                                       1
MARILLE                                            2
MS CHARIS                                          1
ELWIRA                                             2
JASKO                                              1
NATHALINE                                          1
ERNST                                              34
KELSON                                             2
ARDA                                               7
CHRISTEANNE                                        2
JACOLYN                                            2
MARIAAN                                            1
KEVIN BOYCE                                        1
JEENA                                              2
LISA C MUNRO                                       1
TREVOR/ARLENE                                      1
OJAS                                               1
B L                                                9
MARY- LOU                                          1
MYLEE                                              1
ORIOL                                              2
SHAHRYAR                                           1
LORLI J                                            1
KAUSER                                             1
AMNIE                                              1
SULINE                                             1
MALAK                                              2
MS BERTHA                                          1
YUNOK                                              1
REEM                                               10
MYLON                                              1
TROTTA                                             1
JUDITH M WOLF                                      1
MUCHON                                             1
MORAN                                              3
DEB/KEN                                            1
BORGNY                                             1
JERRI                                              35
MILKA                                              6
SHYLA                                              37
MRS.MARION                                         1
BLANC J & L                                        1
ALEXENGER                                          1
ILIRA                                              1
SHAWNTELL                                          1
WL                                                 1
C P MARKS                                          1
ZENKO                                              1
KIMBERLEY                                          1
R W HOWARD LIGHTLE                                 1
GILBERTHA                                          1
WAGUIH                                             1
MRS. DORA M.                                       1
ANDERS                                             29
MRS. ANGELA                                        1
PAUL F                                             3
MS LESLIE                                          13
HEALTHER                                           1
RUPERT ABDALIAN                                    1
MR. ADEKUNLE                                       1
ISOLA                                              2
LYNN E                                             2
SAMSUD                                             1
OLISINE                                            1
C CUDAHY                                           1
LINHART                                            1
AVERILL                                            3
ZILDA                                              3
SUKI                                               19
MRS JAMSHED                                        1
CONNIE.J                                           1
MRS. REGINALD                                      1
GOTTARD                                            1
DUSTY & SAPAN FISHERIES                            1
IAN GRAY                                           1
JOANNE M MCNICOL                                   1
BURYL                                              3
THIKINSUONG                                        1
CLARNECE                                           1
BONNIE JO                                          1
ANWAR                                              44
KAYLY                                              2
CARMYN                                             3
MR TEMPLE                                          1
GARRETT G                                          1
NORMAN D                                           2
DUSTIN/THERESA                                     1
NOORDEAN                                           1
HONG QUAN                                          1
GORDON J DONSKY                                    1
DISCOUNTERS                                        3
KZ                                                 1
DARENE                                             1
ANYESKA                                            1
MARGARET A                                         5
ROB/MATT                                           1
VETALEY                                            2
TATYNA                                             1
GIUSEPPE PILEGGI                                   1
GRATIA                                             1
MAYURIKA                                           1
TENNEILLE                                          1
DEVIKA                                             6
FATIHA                                             1
ANDREE-ANNE                                        1
DAV                                                2
BLAIKE                                             1
YIFAN                                              1
MR. ET MME. ALFRED                                 4
AMELIA                                             1
MARIE-ANNE                                         59
MONA P                                             1
FREDERICK M                                        1
MUNETSUNA                                          1
ELLIOTTE                                           2
WILLIAM THOMPSON                                   1
VICTOR A NAUMETZ                                   1
IVANY                                              3
DORINNE ET RHEAL                                   1
ULI                                                16
MRS. YAN                                           1
DRAGOMIR                                           5
PERE JACQUES                                       1
MANVAR                                             3
DE WOESTYNE DON                                    1
GEORGE PIETRAS                                     1
ANN & DAN                                          1
KELVIN LEE                                         1
DR.SUSANNE                                         1
RARAMINDER                                         1
CHARAN K                                           1
NASSER                                             34
NAGIN                                              2
MELADY                                             1
SPNYA                                              1
WILFRIDA                                           1
DONALD D ORGAN                                     1
POLLY                                              56
ADRA                                               2
DENIE                                              6
SCHOENA                                            1
DR MARIANNA                                        1
A S                                                2
BEAUS                                              1
GREG/ LIZ                                          1
DANA G COLSON                                      1
MARGARET P                                         1
TORRIE                                             4
NAHRAIN                                            1
LILING                                             2
LOVAN                                              1
J P TOKAREWICZ                                     1
CHANTAL TOURIGNY                                   1
MRS. RENE                                          2
NAOUM                                              1
ANDREW S ADAMS                                     1
JOHN C MENEAR                                      1
JAMES BRUCE BLAIN                                  1
D PELL                                             1
GERAOD                                             1
SADIYAH                                            1
SIUWAH                                             1
ATINDERPAL                                         1
JOSEPH L                                           2
RHENA                                              2
EDWARDO                                            7
CHANDRA M                                          1
ALDRICK                                            2
MME JEANNE- D'ARC                                  1
SANCHEY                                            1
JESSE MAE                                          1
DR   AL                                            1
JANET E SIM                                        1
ZHUN-JIAN                                          1
JONAH ARNOLD                                       1
ROBERTA  L                                         1
MS.SUZANNE                                         1
KIHOON                                             2
VAROUJAN                                           3
MARGARET JE                                        1
MS. KRISTIN                                        1
MARVIN MILLS                                       2
L E KRUL                                           1
PIERRE COUTU                                       1
Maytawee                                           1
JOCHEN                                             5
MRS RONALD                                         5
PAL                                                18
BUDDY AND DONNA                                    1
ALLANE                                             1
SAIMA MAHMOOD                                      1
Chantyle                                           1
MRS BAHRAM                                         1
JOSUHA                                             1
DR. ROB                                            1
KEN & PAULA                                        1
MR. DAYNA                                          1
TRESCHA                                            1
UDHA                                               1
LOBSTERS                                           1
LUCIE A                                            1
DONALD C                                           6
JENA                                               37
JULES & JEANNETTE                                  1
MARIE- ANNE                                        8
JOUDY                                              1
KAPVINGA                                           1
CHRISTOPHER J HABER                                1
BOORIS                                             1
PAUL EDWARD JUNIOR                                 1
gloria JEAN                                        1
SIDAR                                              1
HENRY T                                            2
ALEX & LESLIEANN                                   1
OSERF                                              1
GARVIE                                             3
MME ADELAIDE                                       1
MALLOW                                             2
CHRIS PINNINGTON                                   1
BOUAMAMA                                           1
POLARA                                             1
D IAN KILGOUR                                      1
BERT MULDER                                        2
INGELORE                                           1
JL                                                 8
TRENDSETTER RENOVATIONS - ATTENTION SHELLEY        1
MALDJIBAYE                                         1
ALPHONSUS                                          64
NARY                                               2
BLODWEN                                            1
MARGERETE                                          1
LENY                                               4
BASTIAAN                                           1
WILLIAM G MACRAE                                   1
KIMBAMBU                                           1
REJEANA                                            1
VAN TAN                                            1
IGOL                                               1
NAOKI                                              2
DURWILL                                            1
MARIJAN                                            3
MELISSA TUMMON                                     1
PENNY PRICE                                        2
LARRY & KAREN LITTLE POND                          1
W J HESKA                                          1
ZARI                                               1
MUSSIE                                             5
JUSTTIN                                            1
GUIRLENE                                           1
NATASHA MIKLAUCIC                                  1
COLBY                                              90
SHARMAINE                                          19
LISLEY                                             1
GAYDEN SR.                                         1
Columbina                                          1
ROBBIE LEVITA                                      1
MABIOR                                             2
Aldegonde                                          1
ZOLL                                               1
GUENNADI                                           1
DEBBIE OLEARY                                      1
MS MAUREEN                                         3
MR  DEACON                                         1
SADYIA                                             1
DEWAN                                              1
THIYAGARAJAN                                       1
HESHENG YU                                         1
LEONIE                                             50
M. HÉDARD                                          2
J & M                                              13
MME LILY                                           1
HIND                                               5
SAEEDEH                                            1
NJEGOVAN                                           1
JORIAN                                             1
SHADRA                                             1
DANIEL GIBBS                                       1
PATRICK CHARRON                                    1
CELVIN                                             1
DEMETRIS                                           1
Laena                                              1
H.                                                 16
BRIAN JAMIESON                                     1
JEAN-METHIE                                        1
YVETTE                                             2
DELLEEN                                            1
NYCKI                                              3
ARPITKUMAR                                         1
WILLIAM IRWIN                                      1
DINET                                              1
MS F                                               1
MAGUS                                              1
DEAN STAMBOLICH                                    1
ROBB HEINTZMAN                                     1
ELVIS                                              77
MR. ET MME. EDGAR                                  1
M. JOHN H.                                         1
JIM AND  EVELYN                                    1
LASO                                               1
LOVELY                                             2
ZAKARY                                             2
PETER A DALEY                                      1
JILLIAN/LES                                        1
MR MOHAN                                           1
JAMES MCLANDRESS                                   2
B E HARNETT                                        1
FRÉDÉRIQUE                                         1
DOROTHY/HAROLD                                     1
LARREY                                             1
FILIZ                                              3
RANSFORD                                           4
MICHAEL P CLARKE                                   1
MS STORM                                           1
SOLRUN                                             1
LOU VADALA                                         1
VICKOR                                             1
KAYANSA                                            1
ZBYNEK                                             1
NI                                                 2
D'ARCY                                             32
KATHRYNE                                           6
VERN J                                             1
E RICCI                                            1
TEEGAN                                             2
DORIE-ANN                                          1
JOHN SALLOUM                                       1
LAURINA                                            1
LOISA                                              1
ELZIE                                              3
NYUNG                                              2
SUSMITA DATTA                                      1
PASTOR COLIN                                       1
DOUG AND WENDY                                     1
FRIDJON                                            1
MARYKET                                            1
R NORTHSIDE                                        1
CANDICE                                            361
SHAWNE                                             9
M TOM                                              1
MRS. RUDOLF                                        1
ALLAN B                                            1
REDELL                                             1
YAQUB                                              1
NIGIO                                              1
MELENCIO                                           1
Joesoph                                            1
ZY                                                 1
RIYAZ DATTU                                        1
MS.JONNIE                                          1
B CHAUDRY                                          1
KAREN BROWN                                        1
MICHELE ARISHENKOFF                                1
HARBANS                                            24
SAUG                                               1
KIERSTEN                                           13
KELLIE-ANN                                         1
GARY R                                             7
CHIM                                               1
MRS.ESTHER                                         1
RUTH KELLER                                        1
ROB KLIGMAN                                        1
MOAWIA                                             1
ISSACK                                             2
NECHELLE                                           1
JAMES W MACLAREN                                   1
KAD                                                1
SUQI                                               1
WHELPTON                                           1
MRS. GA                                            1
PAUL MANNING                                       1
LAURA BRAZIL                                       1
R S HYLES                                          1
SANKAR                                             2
EMRAH                                              1
GURMIT                                             23
BAYLA                                              1
KYARA                                              2
ELMER G                                            1
MRS. AUSTIN                                        1
CARTER WILLSON                                     4
CLAYTIN                                            1
TESESITA                                           1
Kelty                                              2
ERIANA                                             1
CHOUDHRY                                           1
BIAKA                                              1
STEPHEN C SOMERTON                                 1
CHARLETON                                          1
BEAUSHENE                                          1
FELITIA                                            1
A&W RESTAURANT C/O                                 1
GHIS                                               1
MS BLAIR                                           1
NICOLETA                                           6
FERNARD                                            3
REINHART                                           3
LYNN LONGMIRE                                      1
DENNIS IZUKAWA                                     1
SHAUNDRA                                           4
CORIEN                                             1
WHISTON                                            1
STUART UIGG                                        1
BERNARD P                                          2
MRS. UTAH                                          1
GERALYN                                            17
VULKER                                             1
LENIC                                              2
LIESL                                              4
TARESITA                                           1
WERASEKARA                                         1
SAPNA J                                            1
YONG-WAN                                           1
GIURMIT                                            2
REV  KEVIN                                         1
PAUL D WESSENGER                                   1
HARRY URMAN                                        1
EUTROPE                                            1
ELOI                                               30
WANDA&AUBREY                                       1
MARQ                                               4
OLWYN                                              5
RYLEY                                              17
MURRAY/CHRIS                                       1
HORIS                                              1
MRS CHARLOTTE                                      1
GRANDISON                                          1
PETER HARRIS                                       1
SUREJ                                              1
ADREEN                                             1
WESLY                                              1
MADAZIRA                                           2
BERDNAINE                                          1
DONALD H WORLING                                   1
MR. AND MRS. BRIAN                                 1
TERRENCE                                           253
DORA  M                                            1
CAROYL                                             1
MME  OSCAR                                         1
M. LÉONDA                                          1
NEWBY ATTY                                         1
BOISVERT                                           2
SAYKHAM                                            3
CHRIS T J BLOM                                     1
ANYOPE                                             1
Pfax                                               1
HARDIAL                                            9
WYLIE                                              33
MAREE                                              4
MRS. AUBREY                                        2
MRS. EARL                                          1
MR Y                                               1
ERDONG                                             1
CARL L                                             1
H P B                                              1
MALYN                                              1
CRANDLE                                            1
AUSTIN F                                           1
ZOUBI                                              1
YOVITA                                             1
REMIDIOS                                           1
HANNELORE                                          10
AFTAR                                              1
REINA PERSAUD                                      1
CHUMPYO                                            1
MME. REGIS                                         1
EUNICE BERGER                                      1
JEREMNY                                            1
STEVE MACHAN                                       1
MADA                                               1
ELZEAR                                             16
LELA KORENBERG                                     1
AMIRUL                                             1
AMEDE                                              2
GLIM                                               1
SAMIRBHAI                                          1
MARY SUM                                           1
LILAC                                              2
KALISHA                                            1
SHARLA LICHTMAN                                    1
STARLET                                            1
LULIET                                             1
FIONA P                                            1
NATIVIDAD                                          3
ANNA- MAE                                          1
MR.ASHLEY                                          2
MOHANDER                                           1
CRENNA                                             1
SHARON/JAMES                                       1
SISOUYONG                                          1
RAEGON                                             1
LOUIS B                                            1
LARRY DAY                                          1
vDYMYR                                             1
WAYNE/CAROL                                        1
MARIE LYNE                                         2
YOGESH                                             5
TERRY-LYNNE                                        2
MARGORI                                            1
DEBBIE ANN                                         2
LARRY AND HENRIETTE                                1
GEORGI                                             5
LOURIE                                             4
RESIDENCE WEST END, A/S NOELLA                     1
JAYDIPKUMAR                                        1
TONY KIRU                                          1
MARY JANE LEMENCHICK                               1
KAREN LEUNG                                        1
K & B                                              3
RENAH                                              1
KADDY                                              1
EVAN                                               597
BRINDA                                             2
ODVAR                                              1
ZACH                                               84
KIETH                                              29
DERRI                                              2
Nicole-renee                                       1
RICK & JANICE                                      1
SALLY H BURKS                                      1
RUMMAN                                             1
ANDREINA                                           1
DESPINULA                                          1
PHILIP KARAS                                       1
BAROMÉ                                             1
ELGER                                              1
CAROLANE                                           4
RAMNEEK                                            2
FOSTER/FAY                                         1
MARLIO                                             1
AGNIS                                              2
ARMIN                                              47
JAMES / KAREN                                      1
MARGREAT                                           2
PAULA (STORE MANGR)                                1
GERA                                               1
BINTOU                                             1
ZAKIYA                                             1
CEONCEPTIO                                         1
ADDEN                                              1
EMMY                                               29
ABDULLH                                            1
MR & MRS.AUSTIN                                    1
FRANC M                                            1
MR NDISABEY                                        1
BRENT W                                            1
K A BEDFORD                                        1
MME. CLEMENT                                       1
BRETT J                                            1
SHAWN RICHARZ                                      2
JASZMINE                                           1
CHIEF TRENT                                        1
SOOCHUN                                            1
PENI                                               2
KURT & ROSS                                        1
ARVIN/MEET                                         1
MELISSA ENDLER                                     1
MRS  URBAN                                         1
DONALD FREEMAN                                     1
KEN BROWN                                          1
BEV & RICK                                         1
VERA                                               830
SOFIA                                              29
AR-DEE                                             1
ADNIKE                                             1
HYUNGJOO                                           2
IGNACIO J M                                        1
MS DYLAN                                           1
EDWARD HERNANDEZ                                   1
GINETTE ET AURELE                                  1
ENIDE                                              1
SCOT MUNDLE                                        1
MANPRETE                                           1
SUNHEE                                             3
MME ARCADINE                                       1
ZAFEER                                             1
J D'SOUZA                                          1
EKKO                                               1
SLAVISA                                            2
FLORALBA                                           1
LEONA C                                            1
SAE                                                1
DAVID C                                            19
HENDERIKUS                                         2
ZAHED                                              3
RANALL                                             1
R K KUMAR                                          1
MERIDA                                             2
FRANCOIS & JOSEE                                   1
FAUSAT                                             1
ZENTA                                              1
LINA                                               1
HOREST                                             1
S R MOORE                                          1
HARVEY HACKER                                      1
RYLIE                                              3
G RABBAT                                           1
VITALLY                                            1
KULDIP S                                           3
J J HOMER                                          1
ANITA BASSI                                        1
DARRIN & ANNE EBENEZER                             1
MAHLON                                             11
JANNINE                                            17
G.FRED G                                           1
MONTEY                                             3
TRYGEV                                             1
GISSELAINE                                         1
ABDOLGHAFOU                                        1
GREGORY W BANKS                                    1
BISRAT                                             2
