lname                                              count
-------------------------------------------------- -----------
VELLER                                             10
HACKING                                            16
NEEME                                              1
LABOTS                                             1
SILVERBURG                                         1
CHALLAND                                           8
SMEDEROVAC                                         1
GRUSZECKY                                          1
POURRIAHI                                          2
SHUN CHEW                                          1
SHIPARO                                            1
PEIERCEY                                           1
& TIM STANLEY                                      1
SCHLACHTA                                          1
DEPOOTER                                           4
RECICI                                             1
VAUN                                               2
SCOTT BLAKNEY                                      1
FITCHNER                                           1
SKOWRON                                            3
M. DYKEMAN                                         1
MAILE                                              6
EAGLESTONE                                         6
BELLEROSE                                          66
BOGNER                                             14
COLENUTT                                           9
HOCHWARTER                                         1
SOLLETT                                            1
PODEMSKI                                           1
SIMBALIST                                          1
MARTLE                                             1
JACOY                                              1
PROBIZANSKI                                        1
FEWCHARRAN-WIE                                     1
SHAFIEE                                            1
LOCKHART JR                                        1
BOEHMER-KENT                                       1
ZAYCHUK                                            9
KOENTGES                                           3
VANDERSPOEL                                        2
BELZAC                                             1
ELBASHIR                                           1
KUHL-MAGNUSSON                                     1
BRANIFF                                            5
A. WOOD                                            1
KLAMMER                                            11
ABDEL-KADER                                        1
KELLETT                                            49
JEONG                                              47
JANSONS                                            1
VAN VLACK                                          1
SAENGMENG                                          1
OSSACHUK                                           1
HOBBIS                                             11
GRAFSTROM                                          1
RYHORSKI                                           6
LOVAT                                              1
DOULAS                                             1
KIMTON                                             1
NESTRANSKY                                         1
ROSHAK                                             1
THIESSON                                           5
JOHNSSON                                           3
CHETWYN                                            1
MANARD                                             2
KNICKERSON                                         1
OLAFSEN                                            4
REMPELL                                            1
LOCKLYN                                            6
BECH-HANSEN                                        1
GOTTFRED                                           5
LEMOAL                                             6
W. DOHEY                                           1
KUTSCHERA                                          3
KERKLANN                                           1
PETASKY                                            2
YAGANTAPPA                                         1
VANDENBROERE                                       1
Helmak                                             1
LEBARD                                             2
MAGISSRADO                                         1
DRACKETT                                           4
AVECILLA                                           2
DASCHER                                            1
MONEMI                                             1
WANGER                                             2
HUNNIE                                             13
BEERWORT                                           2
MUZKYA                                             2
SARNAT                                             1
HEUY                                               1
BOUSSIERE                                          1
HENDRECKSON                                        1
SEVIOUR                                            14
MLIECZKO                                           2
BURROUGHS                                          57
TCHOZEWSKI                                         4
